id 编号
order_type 预约方式
part_id 部门
name 姓名
sex 性别
age 年龄
disease_id 疾病
depart 部门
tel 电话
tel_location 电话所在地
qq 患者QQ
order_qq 我方QQ
weixin 患者微信
order_weixin 我方微信
zhuanjia_num 专家号
content 咨询内容
talk_content 咨询对话内容
jiedai 接待人
order_date 预约时间
order_date_changes 预约时间修改次数
order_date_log 预约时间修改记录
order_soft 预约软件
swt_id 商务通永久身份
media_from 媒体类型
qq_from QQ来源
tel_from 电话来源
shichang 市场来源
account 所属账号
guiji 轨迹
qudao 渠道
engine 搜索引擎
from_site 来源站点
key_word 来源关键词
tuiguangren 推广人
memo 备注
status 状态
come_date 到院时间
xianchang_doctor 现场医生
doctor 主治医生
xiaofei 消费
xiaofei_log 消费明细
xiangmu 治疗项目
huifang 回访内容
huifang_kf 回访客服
rechecktime 审核时间
addtime 添加时间
author 添加人
edit_log 修改记录
